Key,Sum_Population,Sum_Pop__Densi,Sum_Income___T,Sum_Housing___,Sum_Education_
Caserne 15 Grid3_1,600,258.2,475,305,455
Caserne 16 Grid0_0,18268,466599.5,15850,10195,16015
Caserne 16 Grid0_1,16693,434268.3,14680,8855,14635
Caserne 16 Grid0_2,1505,38735.7,1400,850,1365
Caserne 16 Grid1_0,11482,337251,9980,6565,10030
Caserne 16 Grid1_1,14985,414289.6,13075,8315,12965
Caserne 16 Grid1_2,5219,163261.8,4870,3085,4875
Caserne 17 Grid0_0,2021,26956.1,1610,930,1570
Caserne 17 Grid0_1,7927,108712.3,6150,3615,6035
Caserne 17 Grid0_2,12970,239496.6,10255,6045,10115
Caserne 17 Grid0_3,5639,89664.6,4510,2450,4675
Caserne 17 Grid1_0,7624,99723.4,6020,3240,6115
Caserne 17 Grid1_1,15387,232875.5,12000,6130,12120
Caserne 17 Grid1_2,14442,213972.9,11320,5750,11285
Caserne 17 Grid1_3,6384,90584.2,5060,2480,5065
Caserne 17 Grid2_1,4403,67864.2,3525,1705,3630
Caserne 17 Grid2_2,1072,10746.8,850,420,885
Caserne 18 Grid0_0,2483,24166.8,1970,1075,1960
Caserne 18 Grid0_1,8549,101279.1,6960,3495,6870
Caserne 18 Grid0_2,9337,132353.8,7580,3700,7525
Caserne 18 Grid0_3,4865,75810.4,3880,1915,3930
Caserne 18 Grid1_0,9351,176056.9,6615,3875,6555
Caserne 18 Grid1_1,20850,543604.9,16575,8515,16620
Caserne 18 Grid1_2,14738,296695.8,11855,5805,11805
Caserne 18 Grid1_3,6691,101676.8,5385,2720,5430
Caserne 18 Grid1_4,545,3022.7,430,190,430
Caserne 18 Grid2_0,1379,6238.5,1080,610,1055
Caserne 18 Grid2_1,8437,121153.4,6485,3385,6535
Caserne 18 Grid2_2,6789,85587.6,5370,2830,5405
Caserne 19 Grid0_0,14087,289763.4,12425,7780,12350
Caserne 19 Grid0_1,14895,300258.6,13310,8585,13310
Caserne 19 Grid0_2,8172,202194.5,7330,4805,7300
Caserne 19 Grid1_0,9540,120279,8635,5470,8725
Caserne 19 Grid1_1,10221,143153.3,8995,5850,9005
Caserne 19 Grid1_2,2271,24673.8,2045,1295,2040
Caserne 19 Grid2_0,0,0,,,
Caserne 19 Grid2_1,0,0,,,
Caserne 19 Grid2_2,0,0,,,
Caserne 19 Grid2_3,0,0,,,
Caserne 19 Grid2_4,0,0,,,
Caserne 19 Grid3_1,0,0,,,
Caserne 19 Grid3_2,0,0,,,
Caserne 19 Grid3_3,0,0,,,
Caserne 19 Grid3_4,0,0,,,
Caserne 20 Grid0_0,4837,69868.1,4140,2915,4065
Caserne 20 Grid0_1,9609,79801.3,8195,5435,8095
Caserne 20 Grid0_2,12076,42388.9,10930,7365,11000
Caserne 20 Grid1_0,5888,35716,4970,3150,4885
Caserne 20 Grid1_1,6324,32781.7,5495,3490,5240
Caserne 20 Grid1_2,7796,30116.2,7045,4750,6960
Caserne 20 Grid1_3,6158,17611.2,5500,3740,5450
Caserne 20 Grid2_3,1422,883.7,1255,705,1160
Caserne 21 Grid0_1,3733,12310.4,2880,1200,2845
Caserne 21 Grid0_2,7601,91774.3,5965,2765,5840
