Key,Sum_Population,Sum_Pop__Densi,Sum_Income___T,Sum_Housing___,Sum_Education_
Caserne 46 Grid2_0,6872,116007.2,5720,3230,5660
Caserne 46 Grid2_1,11796,188760.9,9715,6025,9825
Caserne 46 Grid2_2,1740,21408.8,1405,820,1410
Caserne 46 Grid3_1,615,622.8,480,285,460
Caserne 48 Grid0_0,1740,26867.3,1550,1000,1535
Caserne 48 Grid0_1,13565,271402.4,11840,7650,11610
Caserne 48 Grid0_2,12158,263933.4,10500,6825,10625
Caserne 48 Grid1_0,2847,31871.8,2515,1635,2455
Caserne 48 Grid1_1,10647,187932,9205,5980,9130
Caserne 48 Grid1_2,6031,136909.2,5345,3305,5375
Caserne 49 Grid0_1,5614,83138.3,4365,2430,4410
Caserne 49 Grid0_2,16938,257088.5,13285,7255,13245
Caserne 49 Grid0_3,2620,35884.6,2040,1025,1960
Caserne 49 Grid1_0,5800,58979.2,4825,2890,4915
Caserne 49 Grid1_1,8083,85272.5,6675,3960,6640
Caserne 49 Grid1_2,5857,69645.7,4745,2500,4855
Caserne 49 Grid1_3,1176,17563.7,930,440,950
Caserne 49 Grid2_0,10256,132007.3,8480,4900,8530
Caserne 49 Grid2_1,10538,154035.2,8850,4965,8820
Caserne 49 Grid2_2,6508,112984.3,5340,2655,5295
Caserne 49 Grid2_3,3633,32635.8,2660,1195,2710
Caserne 49 Grid3_0,4380,33401.3,3385,2005,3320
Caserne 49 Grid3_1,5491,54427.2,4400,2700,4440
Caserne 50 Grid0_0,3004,45733.3,2370,1345,2335
Caserne 50 Grid0_1,11634,242069.8,9570,5740,9630
Caserne 50 Grid0_2,10143,195344,8020,4850,7935
Caserne 50 Grid1_0,12051,193580.1,9640,5720,9690
Caserne 50 Grid1_1,15395,248390.6,12955,7990,13045
Caserne 50 Grid1_2,8367,175656.7,6755,4260,6910
Caserne 50 Grid2_0,7643,62008.2,6695,4060,6630
Caserne 50 Grid2_1,4788,13798.7,4255,2610,4180
Caserne 50 Grid2_2,1522,34809.8,1330,830,1380
Caserne 50 Grid2_3,552,8479.3,495,315,485
Caserne 50 Grid3_0,1408,3039.7,1150,700,1130
Caserne 50 Grid3_1,4145,7761.1,3705,2265,3650
Caserne 51 Grid0_0,467,72.3,415,185,445
Caserne 51 Grid0_1,467,72.3,415,185,445
Caserne 51 Grid0_2,467,72.3,415,185,445
Caserne 51 Grid0_3,921,498.8,790,345,790
Caserne 51 Grid0_4,467,72.3,415,185,445
Caserne 51 Grid1_0,467,72.3,415,185,445
Caserne 51 Grid1_1,1600,194.5,1225,530,1270
Caserne 51 Grid1_2,1600,194.5,1225,530,1270
Caserne 51 Grid1_3,2054,621,1600,690,1615
Caserne 51 Grid1_4,3125,12681.1,2470,1335,2485
Caserne 51 Grid1_5,1381,6897.7,1235,735,1255
Caserne 51 Grid2_0,467,72.3,415,185,445
Caserne 51 Grid2_1,1600,194.5,1225,530,1270
Caserne 51 Grid2_2,1133,122.2,810,345,825
Caserne 51 Grid2_3,1901,2037.6,1185,505,1170
Caserne 51 Grid2_4,4333,16443.3,3355,1775,3380
Caserne 51 Grid2_5,2850,11513.6,2345,1255,2395
Caserne 51 Grid3_0,4033,758.8,3120,1305,3115
Caserne 51 Grid3_1,2679,7115.9,2150,875,2140
Caserne 51 Grid3_2,1757,3969.3,1350,545,1325
Caserne 51 Grid3_3,1766,329.1,1340,590,1430
Caserne 51 Grid3_4,1766,329.1,1340,590,1430
Caserne 51 Grid3_5,1638,816.2,1240,510,1185
Caserne 51 Grid4_0,4699,808.7,3515,1465,3495
Caserne 51 Grid4_1,1757,3969.3,1350,545,1325
Caserne 51 Grid4_2,1133,122.2,810,345,825
Caserne 51 Grid4_3,1133,122.2,810,345,825
Caserne 51 Grid5_0,5358,3591.6,4040,1680,3965
Caserne 51 Grid5_1,1792,2905.1,1335,560,1295
Caserne 51 Grid5_2,1133,122.2,810,345,825
Caserne 52 Grid0_1,1766,329.1,1340,590,1430
Caserne 52 Grid0_2,3328,3399.4,2565,1125,2605
Caserne 52 Grid0_3,2756,2201.7,2180,940,2210
Caserne 52 Grid1_0,1766,329.1,1340,590,1430
Caserne 52 Grid1_1,3291,3949.2,2535,1095,2605
Caserne 52 Grid1_2,3148,5699.6,2565,1100,2560
Caserne 52 Grid1_3,505,694,430,165,360
Caserne 52 Grid2_0,2965,1134,2225,900,2370
Caserne 52 Grid2_1,4735,8056.4,3825,1555,3965
Caserne 52 Grid2_2,1703,3014.5,1435,570,1340
Caserne 53 Grid0_0,2035,2659.4,1575,600,1665
Caserne 53 Grid0_1,4789,5029.8,3720,1505,3875
Caserne 53 Grid0_2,4286,7563.6,3430,1410,3605
Caserne 53 Grid0_3,2927,7167,2395,955,2275
Caserne 53 Grid1_0,3890,13349.5,3065,1175,3175
Caserne 53 Grid1_1,7740,28431.6,6175,2580,6305
Caserne 53 Grid1_2,5775,13492.8,4540,1860,4540
Caserne 53 Grid1_3,1727,4552.5,1370,540,1305
Caserne 53 Grid2_0,4817,25636.8,3905,1550,3890
Caserne 53 Grid2_1,5085,23690.9,4105,1700,4035
Caserne 53 Grid2_2,3220,9552,2575,1090,2640
Caserne 53 Grid3_0,4672,20787.1,3865,1815,3900
Caserne 53 Grid3_1,5535,20478.6,4540,2015,4535
Caserne 53 Grid3_2,1566,4247.1,1270,535,1340
Caserne 53 Grid4_0,5071,20137.9,4165,1925,4140
Caserne 53 Grid4_1,5395,19240.9,4435,2015,4410
Caserne 53 Grid4_2,1080,3133.4,890,365,885
Caserne 53 Grid5_0,3887,10000,3220,1525,3310
Caserne 53 Grid5_1,1874,6342,1520,660,1510
Caserne 53 Grid5_2,1080,3133.4,890,365,885
Caserne 54 Grid0_2,7946,11077.9,6185,2470,6090
Caserne 54 Grid0_3,6524,14634.5,5150,2000,5160
Caserne 54 Grid1_1,795,2640.3,640,260,640
Caserne 54 Grid1_2,4224,16571.7,3515,1260,3610
Caserne 54 Grid1_3,6389,17898.7,5220,1890,5370
Caserne 54 Grid2_1,3147,19275.4,2645,1075,2650
Caserne 54 Grid2_2,6610,21622.4,5535,2110,5560
Caserne 54 Grid2_3,3539,13117.9,2925,1115,2905
Caserne 54 Grid3_0,3532,19258.6,2985,1170,3020
Caserne 54 Grid3_1,5986,25083.4,5160,2025,5150
Caserne 54 Grid3_2,6448,23627.2,5485,2345,5435
Caserne 54 Grid3_3,3417,17658.2,2790,1155,2775
Caserne 54 Grid4_0,4248,15180.4,3595,1420,3675
Caserne 54 Grid4_1,3958,7640.3,3385,1340,3425
Caserne 54 Grid4_2,4498,19319.1,3830,1745,3805
Caserne 54 Grid5_1,1624,2178.2,1365,560,1315
Caserne 54 Grid5_2,4377,19531.8,3550,1530,3600
Caserne 55 Grid0_1,2317,5167.8,1930,830,1905
Caserne 55 Grid0_2,5571,8795.4,3960,1720,3825
Caserne 55 Grid0_3,4615,28235.6,3060,1620,3035
Caserne 55 Grid0_4,2402,9029.1,1880,785,1995
Caserne 55 Grid0_5,1839,3726.7,1525,765,1585
Caserne 55 Grid1_0,1952,3193.9,1450,730,1405
Caserne 55 Grid1_1,4269,8361.7,3380,1560,3310
Caserne 55 Grid1_2,5197,7971.9,3435,1645,3425
Caserne 55 Grid1_3,6317,43940.4,4425,2180,4410
Caserne 55 Grid1_4,5337,24177,4355,2170,4545
Caserne 55 Grid1_5,4413,14663.6,3730,1950,3770
Caserne 55 Grid1_6,2164,4929.8,1815,915,1730
Caserne 55 Grid2_0,2684,3912.8,1730,835,1685
Caserne 55 Grid2_1,2064,4580,1530,790,1525
Caserne 55 Grid2_2,7543,24213.4,5350,2515,5330
Caserne 55 Grid2_3,7042,35862.6,5165,2605,5055
Caserne 55 Grid2_4,5331,18082.3,4600,2400,4665
Caserne 55 Grid2_5,3871,14957.1,3305,1645,3300
Caserne 55 Grid2_6,463,1312.4,425,235,340
Caserne 55 Grid3_0,3495,5164.1,2410,1235,2415
Caserne 55 Grid3_1,4551,17821.3,3570,1620,3525
Caserne 55 Grid3_2,8937,32281.2,7275,3490,7175
Caserne 55 Grid3_3,5016,19359,4290,2245,4210
Caserne 55 Grid3_4,4163,15108.6,3655,1960,3610
Caserne 55 Grid3_5,1314,5314.3,1140,535,1025
Caserne 55 Grid4_0,2049,378.9,1510,785,1545
Caserne 55 Grid4_1,2049,378.9,1510,785,1545
Caserne 55 Grid4_2,6976,22195,5495,2465,5465
Caserne 55 Grid4_3,6181,24787.5,5185,2795,5135
Caserne 55 Grid4_4,1471,8047.5,1205,700,1195
Caserne 55 Grid5_1,2049,378.9,1510,785,1545
Caserne 55 Grid5_2,1892,4278.3,1570,725,1635
Caserne 55 Grid5_3,4023,18787,3390,1760,3355
Caserne 55 Grid5_4,1916,9780.4,1580,855,1510
Caserne 56 Grid0_3,1620,386.4,1325,655,1300
Caserne 56 Grid0_4,506,259.9,460,250,415
Caserne 56 Grid0_5,506,259.9,460,250,415
Caserne 56 Grid1_2,1620,386.4,1325,655,1300
Caserne 56 Grid1_3,1620,386.4,1325,655,1300
Caserne 56 Grid1_4,2599,879.2,2170,1045,2170
Caserne 56 Grid1_5,2093,619.3,1710,795,1755
Caserne 56 Grid2_1,1140,1336.1,990,465,975
Caserne 56 Grid2_2,2254,1462.6,1855,870,1860
Caserne 56 Grid2_3,1114,126.5,865,405,885
Caserne 56 Grid2_4,1114,126.5,865,405,885
Caserne 56 Grid2_5,2093,619.3,1710,795,1755
Caserne 56 Grid3_0,1081,338.5,900,360,890
Caserne 56 Grid3_1,2829,1541.2,2295,980,2335
Caserne 56 Grid3_2,2829,1541.2,2295,980,2335
Caserne 56 Grid3_3,1114,126.5,865,405,885
Caserne 56 Grid3_4,2093,619.3,1710,795,1755
Caserne 56 Grid3_5,2093,619.3,1710,795,1755
Caserne 56 Grid4_0,3023,1606.8,2380,960,2285
Caserne 56 Grid4_1,2558,932.2,1980,780,1910
Caserne 56 Grid4_2,4049,12007.3,3325,1405,3305
Caserne 56 Grid4_3,5411,12762.8,4535,2070,4480
Caserne 56 Grid4_4,2093,619.3,1710,795,1755
Caserne 56 Grid4_5,979,492.8,845,390,870
Caserne 56 Grid5_0,1942,1268.3,1480,600,1395
Caserne 56 Grid5_1,4739,9747.1,3725,1435,3670
Caserne 56 Grid5_2,7112,27354,5770,2385,5720
Caserne 56 Grid5_3,6861,32418.6,5630,2730,5645
Caserne 56 Grid5_4,4824,18209.2,3870,2075,3835
Caserne 56 Grid5_5,3900,34729.7,3060,1605,3040
Caserne 56 Grid6_0,2713,3076.5,2010,860,2035
Caserne 56 Grid6_1,4991,12318.3,3840,1585,3905
Caserne 56 Grid6_2,3484,13969.5,2730,1150,2905
Caserne 56 Grid6_3,4108,18386.2,3245,1815,3330
Caserne 56 Grid6_4,2535,12647.3,1970,1160,1920
Caserne 57 Grid0_3,2260,12162.2,1760,990,1770
Caserne 57 Grid0_4,4787,30526.8,3870,1825,3845
Caserne 57 Grid0_5,3949,25375.7,3275,1275,3225
Caserne 57 Grid0_6,4128,25103,3475,1390,3485
Caserne 57 Grid1_0,849,4500.3,735,300,730
Caserne 57 Grid1_1,3623,18025.6,3080,1495,3085
Caserne 57 Grid1_2,5427,18308.2,4540,2610,4525
Caserne 57 Grid1_3,6023,27554.8,4960,2480,4945
Caserne 57 Grid1_4,6749,48344.7,5645,2405,5630
Caserne 57 Grid1_5,4441,27955.7,3710,1460,3700
Caserne 57 Grid2_0,5489,25607.1,4535,2135,4565
Caserne 57 Grid2_1,8266,59527.3,6845,2730,6930
Caserne 57 Grid2_2,8378,38642.6,6850,3000,6705
Caserne 57 Grid2_3,5950,23207.3,4890,2365,4710
Caserne 57 Grid2_4,3641,19697.5,3035,1355,2875
Caserne 57 Grid3_0,5659,27175.7,4615,2225,4675
Caserne 57 Grid3_1,9854,65982,8060,3350,8320
Caserne 57 Grid3_2,3459,16679.2,2840,1040,2980
Caserne 57 Grid4_0,9492,64773.9,7835,4030,7800
Caserne 57 Grid4_1,5546,38751.3,4530,2115,4470
Caserne 57 Grid5_0,3464,18672.8,2875,1450,2895
Caserne 57 Grid6_0,3295,12593.9,2610,1155,2545
Caserne 57 Grid6_1,4967,34539.3,3955,1820,3970
Caserne 57 Grid7_0,1166,3507.2,880,395,835
Caserne 57 Grid7_1,7774,81709.6,6000,2795,5970
Caserne 57 Grid7_2,920,14298,575,260,595
Caserne 57 Grid8_0,1179,2181.7,680,280,635
Caserne 57 Grid8_1,4867,28811,3615,1600,3640
Caserne 57 Grid8_2,920,14298,575,260,595
Caserne 57 Grid9_0,2263,4398.8,1605,665,1655
Caserne 57 Grid9_1,2860,3731,2220,955,2250
Caserne 58 Grid0_0,6113,35824.3,5025,2615,4905
Caserne 58 Grid0_1,6868,37004.7,5705,2580,5725
Caserne 58 Grid0_2,3232,10591.6,2685,1165,2700
Caserne 58 Grid1_0,5393,25435.5,4365,1950,4385
Caserne 58 Grid1_1,5359,19813,4455,1825,4425
Caserne 58 Grid1_2,2595,5331.5,2135,865,2130
Caserne 58 Grid2_0,2770,17750.5,2210,1070,2230
Caserne 58 Grid2_1,1956,14059.3,1545,770,1590
Caserne 59 Grid0_0,968,282.5,775,355,685
Caserne 59 Grid0_1,968,282.5,775,355,685
Caserne 59 Grid0_2,5001,1041.3,3895,1660,3800
Caserne 59 Grid1_0,968,282.5,775,355,685
Caserne 59 Grid1_1,4534,969,3480,1475,3355
Caserne 59 Grid1_2,4534,969,3480,1475,3355
Caserne 59 Grid1_3,5166,881,3930,1650,3940
Caserne 59 Grid2_0,968,282.5,775,355,685
Caserne 59 Grid2_1,4534,969,3480,1475,3355
Caserne 59 Grid2_2,3566,686.5,2705,1120,2670
Caserne 59 Grid2_3,4699,808.7,3515,1465,3495
Caserne 59 Grid3_1,4534,969,3480,1475,3355
Caserne 59 Grid3_2,3897,2354.8,2975,1225,2960
Caserne 59 Grid3_3,6677,7301.2,5115,2100,5035
Caserne 59 Grid4_0,2139,9342.6,1740,800,1635
Caserne 59 Grid4_1,10681,59958.1,8370,3605,8350
Caserne 59 Grid4_2,10880,39643.2,8715,3400,8840
Caserne 59 Grid4_3,2262,8730.4,1875,685,1895
Caserne 59 Grid5_0,7881,53537.5,6285,3000,6100
Caserne 59 Grid5_1,9125,67246.2,7475,3290,7595
Caserne 59 Grid5_2,3397,18609.9,2770,1145,2815
Caserne 59 Grid6_0,3053,15890.5,2465,1055,2450
Caserne 59 Grid6_1,1086,5264,900,340,930
Caserne 61 Grid0_1,1762,9159.9,1410,580,1290
Caserne 61 Grid0_2,7535,26883.7,6110,2710,5960
Caserne 61 Grid0_3,6171,38925.4,5200,2275,5205
Caserne 61 Grid0_4,3101,15014.2,2615,1045,2575
Caserne 61 Grid1_0,2123,14459.9,1720,670,1830
Caserne 61 Grid1_1,7736,35559,6300,2385,6305
Caserne 61 Grid1_2,12097,71072.2,9930,4205,9920
Caserne 61 Grid1_3,8999,58388,7535,3585,7570
Caserne 61 Grid1_4,2187,14810,1855,770,1905
Caserne 61 Grid2_0,5626,37436.9,4530,1955,4445
Caserne 61 Grid2_1,9135,45955.1,7495,2950,7405
Caserne 61 Grid2_2,9524,56609.8,7535,2890,7620
Caserne 61 Grid2_3,4853,34649.4,4025,1700,4010
Caserne 61 Grid3_0,6301,33188.6,5245,2250,5015
Caserne 61 Grid3_1,8368,38021.7,7010,3180,6880
Caserne 61 Grid3_2,4088,11687.1,3110,1325,3115
Caserne 61 Grid3_3,3199,6533.7,2145,1010,2125
Caserne 61 Grid4_0,4315,15063.1,3590,1425,3585
Caserne 61 Grid4_1,9591,57263.2,7990,3580,8045
Caserne 61 Grid4_2,7373,24402,5570,2695,5755
Caserne 61 Grid4_3,2202,1003.9,1310,635,1260
Caserne 61 Grid5_0,10322,98944.6,8380,3715,8365
Caserne 61 Grid5_1,8444,71479.7,7000,3050,7010
Caserne 61 Grid5_2,3148,11973.1,2730,1235,2785
Caserne 61 Grid6_0,3342,24768.4,2595,1160,2540
Caserne 61 Grid6_1,3322,6142.7,2710,1140,2745
Caserne 62 Grid0_0,1461,3367.8,1255,580,1365
Caserne 62 Grid0_1,4224,7813,3385,1710,3500
Caserne 62 Grid0_2,2049,378.9,1510,785,1545
Caserne 62 Grid0_3,2770,2187.7,2110,1030,2135
Caserne 62 Grid1_0,2538,6947.8,2190,925,2265
Caserne 62 Grid1_1,579,93.9,480,255,565
Caserne 62 Grid1_2,2049,378.9,1510,785,1545
Caserne 62 Grid1_3,579,93.9,480,255,565
Caserne 62 Grid2_0,2000,744,1565,735,1595
Caserne 62 Grid2_1,1114,127.3,930,490,1015
Caserne 62 Grid2_2,1114,127.3,930,490,1015
Caserne 62 Grid2_3,579,93.9,480,255,565
Caserne 63 Grid0_1,579,93.9,480,255,565
Caserne 63 Grid0_2,2342,7785.7,1945,900,1960
Caserne 63 Grid0_3,7109,33940.7,5925,2940,5910
Caserne 63 Grid0_4,3740,17951.8,3030,1515,2920
Caserne 63 Grid1_1,1090,154.1,910,460,1020
Caserne 63 Grid1_2,1090,154.1,910,460,1020
Caserne 63 Grid1_3,5126,31285.4,4330,2125,4455
Caserne 63 Grid1_4,4534,22499.2,3830,1740,3755
Caserne 63 Grid2_1,511,60.2,430,205,455
Caserne 63 Grid2_2,511,60.2,430,205,455
Caserne 63 Grid2_3,2359,17568.4,2020,965,1940
Caserne 63 Grid2_4,4589,25981.8,3980,2015,3940
Caserne 63 Grid2_5,472,1530.6,440,230,475
Caserne 63 Grid3_0,511,60.2,430,205,455
Caserne 63 Grid3_1,511,60.2,430,205,455
Caserne 63 Grid3_2,511,60.2,430,205,455
Caserne 63 Grid3_3,3971,9871.5,3475,2005,3480
Caserne 63 Grid3_4,7124,41503.6,6040,3360,6070
Caserne 63 Grid3_5,889,2287.5,755,445,730
Caserne 63 Grid4_0,1046,93.6,880,440,905
Caserne 63 Grid4_1,1060,135.4,855,455,905
Caserne 63 Grid4_2,1060,135.4,855,455,905
Caserne 63 Grid4_3,4867,30477.9,4105,2310,4095
Caserne 63 Grid4_4,6491,60033.4,5585,3235,5615
Caserne 63 Grid4_5,884,2261.4,755,445,730
Caserne 63 Grid5_0,1046,93.6,880,440,905
Caserne 63 Grid5_1,1046,93.6,880,440,905
Caserne 64 Grid0_0,1060,135.4,855,455,905
Caserne 64 Grid0_1,1060,135.4,855,455,905
Caserne 64 Grid0_2,3842,17657.1,3235,1815,3200
Caserne 64 Grid0_3,6548,38080.4,5470,2660,5305
Caserne 64 Grid0_4,1137,6459.7,960,510,1000
Caserne 64 Grid1_0,1595,168.8,1305,690,1355
Caserne 64 Grid1_1,549,75.2,425,250,450
Caserne 64 Grid1_2,4499,19243.1,3635,1845,3665
Caserne 64 Grid1_3,7645,60853.6,6290,2980,6120
Caserne 64 Grid1_4,3797,31599.6,3185,1755,3175
Caserne 64 Grid2_0,1084,108.6,875,485,900
Caserne 64 Grid2_1,1084,108.6,875,485,900
Caserne 64 Grid2_2,4662,26109.2,3770,1915,3880
Caserne 64 Grid2_3,13771,262941.7,10485,6115,10490
Caserne 64 Grid2_4,8195,70736.9,5870,3645,6010
Caserne 64 Grid2_5,970,2677.3,750,465,740
Caserne 64 Grid3_0,549,75.2,425,250,450
Caserne 64 Grid3_1,1614,1204.8,1280,580,1270
Caserne 64 Grid3_2,4287,48225.7,3320,1690,3285
Caserne 64 Grid3_3,12916,138538.2,9965,5645,10060
Caserne 64 Grid3_4,7647,64006.7,5850,3525,5985
Caserne 64 Grid3_5,1274,4801.7,935,595,940
Caserne 64 Grid4_1,2920,7622.2,2280,1090,2290
Caserne 64 Grid4_2,5915,32263.4,4810,2535,4655
Caserne 64 Grid4_3,6366,71476.9,5340,3145,5250
Caserne 64 Grid4_4,3166,23875.5,2495,1525,2580
Caserne 64 Grid4_5,907,5671.5,700,470,760
Caserne 64 Grid5_2,4881,31037,4015,2085,4005
Caserne 64 Grid5_3,6396,51730.5,5250,2905,5165
Caserne 64 Grid5_4,595,694.8,480,285,455
Caserne 64 Grid6_2,3810,14839.7,3110,1630,3085
Caserne 64 Grid6_3,2463,20854.6,2045,1200,2060
Caserne 64 Grid7_2,687,1264.3,560,330,590
Caserne 64 Grid7_3,682,1261.6,560,330,590
Caserne 65 Grid0_2,5862,63817.5,4665,2630,4665
Caserne 65 Grid0_3,6346,54003.8,5205,2910,5305
Caserne 65 Grid0_4,394,3414.2,315,160,370
Caserne 65 Grid1_1,934,1417.6,805,360,750
Caserne 65 Grid1_2,5986,47427.6,4855,2635,4930
Caserne 65 Grid1_3,10087,112259.3,8195,4410,8240
Caserne 65 Grid1_4,5976,95778.3,4915,2620,4955
Caserne 65 Grid2_0,524,228.2,430,185,440
Caserne 65 Grid2_1,3234,39532.3,2690,1320,2875
Caserne 65 Grid2_2,11425,227236.9,9385,4605,9285
Caserne 65 Grid2_3,12805,201689.9,10555,5370,10525
Caserne 65 Grid2_4,7652,101702.1,6090,3280,6145
Caserne 65 Grid3_0,524,228.2,430,185,440
Caserne 65 Grid3_1,6763,66796.2,5220,2775,5245
Caserne 65 Grid3_2,18014,249191.1,14505,7395,14410
Caserne 65 Grid3_3,10868,116848.3,8480,4465,8395
Caserne 65 Grid3_4,6755,77719.9,5405,2865,5405
Caserne 65 Grid4_0,5853,29962.7,4500,2340,4495
Caserne 65 Grid4_1,6150,36730.4,4820,2610,4805
Caserne 65 Grid4_2,12873,129164.6,10340,5540,10355
Caserne 65 Grid4_3,12926,178790.8,10400,5560,10270
Caserne 65 Grid4_4,4697,74256.8,4000,1980,3835
Caserne 65 Grid5_2,8926,112546.2,7430,4105,7410
Caserne 65 Grid5_3,7204,127496.1,6135,3445,5990
Caserne 65 Grid5_4,772,4480.8,670,270,640
Caserne 65 Grid6_2,1453,19559,1210,645,1230
Caserne 65 Grid6_3,952,1087.8,825,460,740
Caserne 66 Grid0_2,2900,34709.4,2420,1310,2475
Caserne 66 Grid0_3,4641,48415.2,3440,1785,3470
Caserne 66 Grid0_4,2766,19339.2,2110,1070,2070
Caserne 66 Grid1_0,1351,4832.5,1125,630,1085
Caserne 66 Grid1_1,10001,203609.9,8520,5095,8475
Caserne 66 Grid1_2,12318,271634.4,10440,5920,10490
Caserne 66 Grid1_3,7534,126706.1,5960,3285,5975
Caserne 66 Grid1_4,1126,11689,940,485,905
Caserne 66 Grid2_0,11937,209632.9,9800,6005,9800
Caserne 66 Grid2_1,19664,527468.3,16735,10275,16655
Caserne 66 Grid2_2,12246,315946.4,10305,6110,10190
Caserne 66 Grid2_3,2576,46145.7,2165,1235,2090
Caserne 66 Grid3_0,1589,2979.7,970,620,925
Caserne 66 Grid3_1,2649,17517.7,2000,1270,1985
Caserne 67 Grid0_0,3847,25730.3,3275,1960,3275
Caserne 67 Grid0_1,11787,56660.5,9590,5430,9625
Caserne 67 Grid0_2,5973,14000.7,4745,2695,4850
Caserne 67 Grid0_3,4669,4038.9,3770,2120,3840
Caserne 67 Grid1_0,7272,29326.9,6085,3550,6075
Caserne 67 Grid1_1,13869,103579.4,11285,6495,11195
Caserne 67 Grid1_2,8482,36115,6850,4050,6950
Caserne 67 Grid2_0,4512,18637.2,3745,2155,3690
Caserne 67 Grid2_1,2120,15455.9,1955,1140,1905
Caserne 71 Grid0_1,3763,22724.1,2765,1255,2840
Caserne 71 Grid0_2,2000,744,1565,735,1595
Caserne 71 Grid0_3,2163,237.5,1705,840,1745
Caserne 71 Grid0_4,1114,127.3,930,490,1015
Caserne 71 Grid0_5,1114,127.3,930,490,1015
Caserne 71 Grid1_0,1049,110.2,775,350,730
Caserne 71 Grid1_1,1769,1085,1390,605,1430
Caserne 71 Grid1_2,1049,110.2,775,350,730
Caserne 71 Grid1_3,1584,143.6,1225,585,1180
Caserne 71 Grid1_4,535,33.4,450,235,450
Caserne 71 Grid1_5,1625,187.5,1360,695,1470
Caserne 71 Grid2_0,2252,4928,1750,715,1685
Caserne 71 Grid2_1,1049,110.2,775,350,730
Caserne 71 Grid2_2,1584,143.6,1225,585,1180
Caserne 71 Grid2_3,1584,143.6,1225,585,1180
Caserne 71 Grid2_4,1046,93.6,880,440,905
Caserne 71 Grid2_5,1046,93.6,880,440,905
Caserne 71 Grid3_0,3816,9172.2,3000,1365,2945
Caserne 71 Grid3_1,2252,4928,1750,715,1685
Caserne 71 Grid3_2,1584,143.6,1225,585,1180
Caserne 71 Grid3_3,1046,93.6,880,440,905
Caserne 71 Grid3_4,1046,93.6,880,440,905
Caserne 71 Grid4_1,1049,110.2,775,350,730
Caserne 71 Grid4_2,535,33.4,450,235,450
Caserne 71 Grid4_3,535,33.4,450,235,450
Caserne 72 Grid0_0,4848,44584.1,4025,1655,4055
Caserne 72 Grid0_1,12739,30684.3,9725,4540,9690
Caserne 72 Grid0_2,6007,13867.9,4675,2175,4705
Caserne 72 Grid0_3,1584,143.6,1225,585,1180
Caserne 72 Grid0_4,1584,143.6,1225,585,1180
Caserne 72 Grid1_0,8105,49969.4,6230,2965,6230
Caserne 72 Grid1_1,11321,46896.7,8550,4135,8470
Caserne 72 Grid1_2,8324,12598.4,6175,2995,6055
Caserne 72 Grid1_3,1584,143.6,1225,585,1180
Caserne 72 Grid1_4,535,33.4,450,235,450
Caserne 72 Grid1_5,535,33.4,450,235,450
Caserne 72 Grid2_0,6744,15830.4,4990,2380,4855
Caserne 72 Grid2_1,9495,48516.2,7160,3535,6865
Caserne 72 Grid2_2,9821,200556.3,8160,4315,8170
Caserne 72 Grid2_3,3561,28396.2,2900,1370,2795
Caserne 72 Grid2_4,535,33.4,450,235,450
Caserne 72 Grid2_5,535,33.4,450,235,450
Caserne 72 Grid2_6,1084,108.6,875,485,900
Caserne 72 Grid3_1,5008,41936.4,4090,2045,4240
Caserne 72 Grid3_2,14271,193887.5,11730,5620,11880
Caserne 72 Grid3_3,5560,36410.2,4435,1980,4395
Caserne 72 Grid3_4,1591,496.9,1305,725,1295
Caserne 72 Grid3_5,535,33.4,450,235,450
Caserne 72 Grid3_6,1084,108.6,875,485,900
Caserne 72 Grid4_2,6990,75053.1,5480,2595,5580
Caserne 72 Grid4_3,8604,60684.2,6665,3345,6755
Caserne 72 Grid4_4,4036,1752.1,3425,1920,3300
Caserne 72 Grid4_5,4148,2829.7,3490,1800,3310
Caserne 72 Grid4_6,1545,492.4,1250,620,1215
Caserne 72 Grid4_7,1010,459,800,385,765
Caserne 72 Grid5_2,3201,3551.2,2460,1355,2585
Caserne 72 Grid5_3,3201,3551.2,2460,1355,2585
Caserne 73 Grid0_0,4115,49165.5,3275,1520,3205
Caserne 73 Grid0_1,11890,78855.7,9070,4220,8890
Caserne 73 Grid1_0,8820,98019.4,6970,3225,6955
Caserne 73 Grid1_1,15377,231136.8,11580,5155,11670
Caserne 73 Grid1_2,8675,78916.6,6910,3055,6905
Caserne 73 Grid2_0,21457,428542.7,16465,8140,16565
Caserne 73 Grid2_1,13922,164603.5,10900,5590,10865
Caserne 73 Grid2_2,12498,96691.2,10215,5250,10180
Caserne 73 Grid2_3,4022,29898.7,3120,1570,3185
Caserne 73 Grid3_0,9332,187251.3,7240,3685,6990
Caserne 73 Grid3_1,7130,78495.5,5810,3075,5830
Caserne 73 Grid3_2,9441,29088.1,7555,3955,7610
Caserne 73 Grid3_3,4104,6399.8,3210,1720,3305
Caserne 73 Grid4_0,2500,12926.1,1735,795,1790
Caserne 73 Grid4_1,3064,16755,2165,1010,2230
Caserne 74 Grid0_3,1591,496.9,1305,725,1295
Caserne 74 Grid0_4,4036,1752.1,3425,1920,3300
Caserne 74 Grid0_5,4036,1752.1,3425,1920,3300
Caserne 74 Grid1_2,6524,19132.5,5105,2545,5275
Caserne 74 Grid1_3,5644,11708.1,4510,2440,4605
Caserne 74 Grid1_4,3501,1718.7,2975,1685,2850
Caserne 74 Grid2_0,3763,40093.1,2800,1265,2725
