Key,incident_nb,DateTime_Out
Caserne 03 Grid0_0,1,2018-07-25
Caserne 03 Grid0_0,1,2018-07-26
Caserne 03 Grid0_0,2,2018-08-03
Caserne 03 Grid0_0,1,2018-08-06
Caserne 03 Grid0_0,1,2018-08-15
Caserne 03 Grid0_0,1,2018-08-18
Caserne 03 Grid0_0,1,2018-08-27
Caserne 03 Grid0_0,1,2018-08-28
Caserne 03 Grid0_0,3,2018-09-16
Caserne 03 Grid0_0,3,2018-09-19
Caserne 03 Grid0_0,1,2018-09-26
Caserne 03 Grid0_0,2,2018-10-05
Caserne 03 Grid0_0,3,2018-10-09
Caserne 03 Grid0_0,1,2018-12-13
Caserne 03 Grid0_0,1,2018-12-14
Caserne 03 Grid0_0,1,2019-01-08
Caserne 03 Grid0_0,1,2019-01-09
Caserne 03 Grid0_0,1,2019-01-30
Caserne 03 Grid0_0,2,2019-02-04
Caserne 03 Grid0_0,1,2019-02-18
Caserne 03 Grid0_0,2,2019-02-21
Caserne 03 Grid0_0,1,2019-03-06
Caserne 03 Grid0_0,1,2019-03-26
Caserne 03 Grid0_0,1,2019-04-16
Caserne 03 Grid0_0,1,2019-04-17
Caserne 03 Grid0_0,1,2019-04-28
Caserne 03 Grid0_0,1,2019-05-08
Caserne 03 Grid0_0,1,2019-05-13
Caserne 03 Grid0_0,1,2019-05-24
Caserne 03 Grid0_0,1,2019-05-29
Caserne 03 Grid0_0,1,2019-05-31
Caserne 03 Grid0_0,1,2019-06-09
Caserne 03 Grid0_0,1,2019-06-15
Caserne 03 Grid0_0,1,2019-06-22
Caserne 03 Grid0_0,2,2019-07-16
Caserne 03 Grid0_0,1,2019-07-24
Caserne 03 Grid0_0,1,2019-07-30
Caserne 03 Grid0_0,1,2019-08-06
Caserne 03 Grid0_0,1,2019-08-11
Caserne 03 Grid0_0,1,2019-08-13
Caserne 03 Grid0_0,1,2019-08-18
Caserne 03 Grid0_0,1,2019-09-09
Caserne 03 Grid0_0,1,2019-10-03
Caserne 03 Grid0_0,1,2019-10-04
Caserne 03 Grid0_0,1,2019-10-05
Caserne 03 Grid0_0,1,2019-10-12
Caserne 03 Grid0_0,1,2019-10-15
Caserne 03 Grid0_0,1,2019-10-22
Caserne 03 Grid0_0,1,2019-10-28
Caserne 03 Grid0_0,1,2019-10-31
Caserne 03 Grid0_0,1,2019-11-23
Caserne 03 Grid0_0,1,2019-12-06
Caserne 03 Grid0_0,1,2019-12-09
Caserne 03 Grid0_0,1,2019-12-23
Caserne 03 Grid0_0,1,2019-12-24
Caserne 03 Grid0_0,2,2019-12-28
Caserne 03 Grid0_0,1,2020-01-03
Caserne 03 Grid0_0,1,2020-01-15
Caserne 03 Grid0_0,1,2020-01-18
Caserne 03 Grid0_0,1,2020-02-08
Caserne 03 Grid0_0,1,2020-02-19
Caserne 03 Grid0_0,1,2020-03-16
Caserne 03 Grid0_0,1,2020-03-30
Caserne 03 Grid0_0,3,2020-05-11
Caserne 03 Grid0_0,1,2020-05-23
Caserne 03 Grid0_0,1,2020-05-27
Caserne 03 Grid0_0,1,2020-06-01
Caserne 03 Grid0_0,2,2020-06-03
Caserne 03 Grid0_0,1,2020-06-04
Caserne 03 Grid0_0,1,2020-06-06
Caserne 03 Grid0_0,1,2020-06-07
Caserne 03 Grid0_0,1,2020-06-17
Caserne 03 Grid0_0,1,2020-06-19
Caserne 03 Grid0_0,1,2020-07-12
Caserne 03 Grid0_0,1,2020-07-21
Caserne 03 Grid0_0,1,2020-07-26
Caserne 03 Grid0_0,1,2020-08-02
Caserne 03 Grid0_0,1,2020-08-06
Caserne 03 Grid0_0,1,2020-09-17
Caserne 03 Grid0_0,1,2020-09-22
Caserne 03 Grid0_0,1,2020-09-28
Caserne 03 Grid0_0,2,2020-10-01
Caserne 03 Grid0_0,1,2020-10-06
Caserne 03 Grid0_0,1,2020-11-09
Caserne 03 Grid0_0,1,2020-11-25
Caserne 03 Grid0_0,1,2020-11-27
Caserne 03 Grid0_0,1,2020-11-29
Caserne 03 Grid0_0,1,2020-12-10
Caserne 03 Grid0_0,1,2020-12-27
Caserne 03 Grid0_0,1,2021-01-04
Caserne 03 Grid0_0,1,2021-01-09
Caserne 03 Grid0_0,1,2021-01-31
Caserne 03 Grid0_0,1,2021-02-19
Caserne 03 Grid0_0,1,2021-02-23
Caserne 03 Grid0_0,1,2021-02-28
Caserne 03 Grid0_0,1,2021-03-16
Caserne 03 Grid0_0,1,2021-04-14
