NOM_CAS_AD,NO_CAS_ADM,OBJECTID,AreaSqKm,CentroidX,CentroidY,GridName,Key,GEO_UID,DA_NAME,Population,Pop__Densi,Appart_in_,Income___T,Income___2,Income___3,Housing___,Education_,DAUID,PRUID,PRNAME,CDUID,CDNAME,CDTYPE,CCSUID,CCSNAME,CSDUID,CSDNAME,CSDTYPE,ERUID,ERNAME,SACCODE,SACTYPE,CMAUID,CMAPUID,CMANAME,CMATYPE,CTUID,CTNAME,ADAUID
Caserne 25,25,299,2.993538,-73.579308,45.50391,Grid0_0,Caserne 25 Grid0_0,24661419,1419,462,30000,170,410,100,70,255,390,24661419,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620164.00,0164.00,24660111
Caserne 25,25,299,2.993538,-73.579308,45.50391,Grid0_0,Caserne 25 Grid0_0,24661418,1418,326,14488.9,0,290,100,77.4,180,310,24661418,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620164.00,0164.00,24660111
Caserne 31,31,300,2.00648,-73.608784,45.533372,Grid0_0,Caserne 31 Grid0_0,24661521,1521,1620,7769.8,70,1475,100,77.4,955,1465,24661521,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620232.00,0232.00,24660106
Caserne 31,31,300,2.00648,-73.608784,45.533372,Grid0_0,Caserne 31 Grid0_0,24661519,1519,596,14224.3,0,545,100,78.7,330,535,24661519,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620219.00,0219.00,24660109
Caserne 31,31,300,2.00648,-73.608784,45.533372,Grid0_0,Caserne 31 Grid0_0,24661518,1518,582,10919.3,0,535,100,81.4,335,520,24661518,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620218.00,0218.00,24660104
Caserne 31,31,300,2.00648,-73.608784,45.533372,Grid0_0,Caserne 31 Grid0_0,24661509,1509,590,12715.5,0,530,100,79.9,315,540,24661509,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620232.00,0232.00,24660106
Caserne 31,31,300,2.00648,-73.608784,45.533372,Grid0_0,Caserne 31 Grid0_0,24661510,1510,529,15028.4,0,460,100,82.8,260,420,24661510,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620232.00,0232.00,24660106
Caserne 31,31,300,2.00648,-73.608784,45.533372,Grid0_0,Caserne 31 Grid0_0,24661516,1516,575,13723.2,0,525,100,81.3,330,520,24661516,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620218.00,0218.00,24660104
Caserne 31,31,300,2.00648,-73.608784,45.533372,Grid0_0,Caserne 31 Grid0_0,24663451,3451,428,6708.5,40,385,100,77,235,400,24663451,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620218.00,0218.00,24660104
Caserne 31,31,300,2.00648,-73.608784,45.533372,Grid0_0,Caserne 31 Grid0_0,24663450,3450,491,14109.2,0,470,100,74.5,280,430,24663450,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620218.00,0218.00,24660104
